NUM_CONTRATO,NUM_HACIENDA,ID_OBRA_COMPLEMENTARIA,OC_NUMERO_CONTRATO,NUM_LICITACION,OBJETO,MODALIDAD,TIPO_CONTRATO,TIPO_OBRA,TOTAL_CONTRATO,AVANCE,FECHA_AVANCE,DOCUMENTOS,FOTOGRAFIAS,MUNICIPIO,LOCALIDAD,LATITUD,LONGITUD,BENEFICIADOS,ORGANISMO,UA_SOLICITANTE,UA_RESPONSABLE,CONTRATISTA,RESIDENTE,SUPERVISOR_EXTERNO,FECHA_CONTRATO,FECHA_INICIO,FECHA_TERMINO,FECHA_ENTREGA,EJERCICIO
ISIE-FP100-15-003,,0,,IO-926055986-N42-2015,"REPARACION GENERAL DE SANITARIOS, IMPERMEABILIZACION Y REHABILITACION MENOR DEL SISTEMA ELECTRICO EN ESCUELA PRIMARIA PROF. MIGUEL ANGEL LOYA MARTINEZ EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO SONORA","LICITACIÓN SIMPLIFICADA","OBRA PÚBLICA",EDUCACIÓN,1132279.67,100,15/03/2016,2,7,HERMOSILLO,"AV QUINTANA ROO SN-S, OLIVARES, 83180 HERMOSILLO, SON., MÉXICO",29.095212235376334,-110.97843110561371,1228,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"SPAZICORP, S.A. DE C.V.","ING. LOPE SARACHO CASTAÑOS",,29/12/2015,22/01/2016,22/04/2016,24/04/2016,2015
ISIE-FAMEB-15-166,,0,,,"REPARACION DE TECHOS, SISTEMA ELECTRICO, DEMOLICION DE BEBEDEROS, PISOS DE AULAS, SERVICIOS SANITARIOS, CERCO PERIMETRAL, CANCHAS DEPORTIVAS, PLAZA CIVICA, ANDADORES, ILUMINACION DE TEJABAN, CONSTRUCCION DE ASTA BANDERA Y PINTURA GENERAL EN SECUNDARIA ESTATAL 35, ARTEMISA CORDOVA DE MORENO EN LA LOCALIDAD Y MUNICIPIO DE SAN PEDRO DE LA CUEVA, SONORA.","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,1575285.32,100,22/03/2016,2,2,"SAN PEDRO DE LA CUEVA","VENUSTIANO CARRANZA S/N",29.289224829228793,-109.74839687347415,95,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"TMC CONSTRUCCIONES SA DE CV","ING. HUGO ALBERTO ISSA PERAZA",,23/12/2015,24/12/2015,22/03/2016,14/04/2016,2015
ISIE-FAMEB-15-185,,0,,,"REHABILITACION DE SERVICIOS SANITARIOS, SISTEMA HIDRAULICO, BEBEDERO, CANCHA DEPORTIVA, SUSTITUCION DE TECHOS EN CUATRO AULAS, INSTALACION DE LAMPARAS EN AULAS Y ALUMBRADO EXTERIOR, NAVOJOA, SONORA","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,1490018.02,100,14/03/2016,2,3,NAVOJOA,NINGUNO,27.190498540972044,-109.34610843658447,135,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"ING. IVAN MLADOSICH ESTRADA","ING. JUAN FCO. ZAZUETA URBALEJO",,15/12/2015,16/12/2015,14/03/2016,25/05/2016,2015
ISIE-FAMEB-15-187,,0,,,"REHABILITACION DE SANITARIOS, APLANADOS Y GRIETAS DEL SISTEMA ELECTRICO, PISOS, CERCO PERIMETRAL Y PINTURA EN EP FERNANDO F.DWORAK, EN LA LOCALIDAD Y MUNICIPIO DE CD. OBREGON, CAJEME, SONORA","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,1229991.34,100,28/04/2016,2,8,CAJEME,"DURANGO NO. 514",27.488876344533413,-109.938959773552,194,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"MARAGUA CONSTRUCCIONES, S.A. DE C.V.","ING. IGNACIO VERDUZCO CHAIREZ",,15/12/2015,16/12/2015,14/03/2016,13/05/2016,2015
ISIE-FAMEB-15-149,,0,,,"REHABILITACION ELECTRICA DE BAÑOS, ANDADORES, PLAZA CIVICA Y BEBEDEROS, EN LA EP NIÑOS HEROES DE LA LOCALIDAD Y MUNICIPIO DE EL SANEAL, EN NAVOJOA, SONORA","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,1805419.94,100,13/03/2016,2,4,NAVOJOA,"DOMICILIO CONOCIDO",26.911386492287793,-109.38860267400742,130,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"ING. ROGELIO ZAZUETA PEÑA","ING. JUAN FCO. ZAZUETA URBALEJO",,14/12/2015,15/12/2015,13/03/2016,17/05/2016,2015
ISIE-FAMEB-15-151,,0,,,"CONSTRUCCION DE CANCHA CIVICA, RAMPAS Y BEBEDEROS, REHABILITACION GENERAL DE AULAS, SERVICIOS SANITARIOS Y REFUERZO EN BARDA PERIMETRAL EN SEC ESTATAL 28, LEONEL MORENO ROSANO, EN LA LOCALIDAD Y MUNICIPIO DE VILLA JUAREZ, BENITO JUAREZ, SONORA","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,1888176.09,100,15/03/2016,2,9,"BENITO JUÁREZ","GREGORIO TORRES S/N",27.126936947999603,-109.84078288078308,324,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"EDIFICACIONES BOZA, S.A. DE C.V.","ING. JUAN FCO. ZAZUETA URBALEJO",,14/12/2015,15/12/2015,12/02/2016,06/04/2016,2015
ISIE-FAMEB-15-135,,0,,,"REHABILITACION DE CERCO PERIMETRAL, AULAS Y SERVICIOS SANITARIOS EN JN LA GOTITA, EN LA LOCALIDAD Y MUNICIPIO DE LAS ACEITUNITAS, EN BENITO JUAREZ, SONORA","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,611438.6,100,28/02/2016,2,4,"BENITO JUÁREZ","DOMICILIO CONOCIDO",27.07832615909971,-109.914986193118008,30,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"TESIA CONSTRUCCIONES, S.A. DE C.V.","ING. JUAN FCO. ZAZUETA URBALEJO",,14/12/2015,15/12/2015,12/02/2016,11/04/2016,2015
ISIE-FAMEB-15-157,,0,,,"CONSTRUCCION DE SUBESTACION ELECTRICA, REHABILITACION DE CERCO PERIMETRAL Y CONEXION DE FOSA SEPTICA EXISTENTE EN EP BENITO JUAREZ, EN LA LOCALIDAD Y MUNICIPIO DE FRANCISCO VILLA, CAJEME, SONORA","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,889564.28,100,27/03/2016,2,4,CAJEME,"DOMICILIO CONOCIDO",27.37166249624107,-109.81140732765198,142,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"ING. RODOLFO VALDEZ FIGUEROA","ING. LUIS ENRIQUE VALENZUELA LAPIZCO",,14/12/2015,15/12/2015,12/02/2016,12/04/2016,2015
ISIE-FAMEB-15-159,,0,,,"CONSTRUCCION DE CERCO PERIMETRAL Y MURO CON BASE DE CERCO, REHABILITACION DE INSTALACIONES ELECTRICAS DE CISTERNA Y EQUIPO HIDRONEUMATICO, DEMOLICION DE FOSA Y POZO DE ABSORCION, CONEXION DE DRENAJE A RED MUNICIPAL, REHABILITACION MENOR DE SANITARIOS EN JN NUEVA CREACION, EN LA LOCALIDAD Y MUNICIPIO DE ESPERANZA, CAJEME, SONORA","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,788529.41,100,17/03/2016,3,4,CAJEME,"DOMICILIO CONOCIDO",27.448266970226666,-109.9513167142868,48,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"ING. RODOLFO VALDEZ FIGUEROA","ING. LUIS ENRIQUE VALENZUELA LAPIZCO",,14/12/2015,15/12/2015,12/02/2016,12/05/2016,2015
ISIE-FAMEB-15-130,,0,,,"REHABILITACION GENERAL DEL PLANTEL, REHABILITACION DE BAÑOS, CANCHA CIVICA , CERCO PERIMETRAL, DEMOLICION DE BAÑOS Y BODEGA, REPARACION DE TEJABAN EN EP AQUILES SERDAN, EN LA LOCALIDAD Y MUNICIPIO DE TABARE, HUATABAMPO, SONORA","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,2902215.98,100,24/03/2016,2,9,HUATABAMPO,"DOMICILIO CONOCIDO",26.830542872305635,-109.73306000232697,86,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"HERTEG GRUPO CONSTRUCTOR, S.A. DE C.V.","ING. FELIX VERDUZCO PRECIADO",,27/11/2015,30/11/2015,27/02/2016,21/03/2016,2015
ISIE-FAMEB-15-122,,0,,,"REHABILITACION DE TECHO DE EDIFICIO E IMPERMEABILIZACION, REHABILITACION DE INSTALACIONES ELECTRICAS, CONSTRUCCION DE MODULO DE SERVICIOS SANITARIOS DE SUBESTACION ELECTRICA, ALIMENTADORES Y OBRA EXTERIOR EN TELESECUNDARIA 120, EN LA LOCALIDAD Y MUNICIPIO DE LAS BOCAS, HUATABAMPO, SONORA.","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,1830223.96,100,31/03/2016,2,21,HUATABAMPO,"DOMICILIO CONOCIDO",26.581388842978097,-109.32806253433228,138,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"EDIFICACIONES BOZA, S.A. DE C.V.","ING. FELIX VERDUZCO PRECIADO",,27/11/2015,30/11/2015,28/01/2016,06/03/2016,2015
ISIE-FAMEB-15-117,,0,,,"CONSTRUCCION DE SUBESTACION, PINTURA GENERAL, REHABILITACION DE SERVICIOS SANITARIOS Y OBRA EXTERIOR EN JN MARIA ISABEL IRIBE LEYVA, EN LA LOCALIDAD Y MUNICIPIO DE NAVOJOA, SONORA","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,683022.56,100,30/03/2016,2,5,NAVOJOA,"CUAUHTEMOC S/N",27.08082418725156,-109.44525897502899,143,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"MARAGUA CONSTRUCCIONES, S.A. DE C.V.","ING. RENATO MEXIA SANCHEZ",,27/11/2015,19/12/2015,17/02/2016,03/03/2016,2015
ISIE-FAMEB-15-103,,0,,,"REHABILITACION ELECTRICA Y CONSTRUCCION DE SUBESTACION Y ALIMENTADORES ELECTRICOS EN EP VICENTE GUERRERO, EN LA LOCALIDAD Y MUNICIPIO DE LOMA DEL REFUGIO EN NAVOJOA, SONORA","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,691509.16,100,02/06/2016,2,11,NAVOJOA,"DOMICILIO CONOCIDO ",27.12388850045333,-109.45943176746368,100,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"ING. IVAN MLADOSICH ESTRADA","ING. JUAN FCO. ZAZUETA URBALEJO",,09/11/2015,05/12/2015,03/02/2016,18/02/2016,2015
ISIE-FAMEB-15-113,,0,,,"ADECUACION DE ACCESO PRINCIPAL, REHABILITACION DE BARDA FRONTAL DE SERVICIOS SANITARIOS, INSTALACIONES ELECTRICAS, PINTURA Y OBRA EXTERIOR EN EP MIGDELINA GIL SAMANIEGO, EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO, SONORA.","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,1207592,100,08/02/2016,2,4,HERMOSILLO,"JOSE CARMELO S/N",29.10211668759953|,-110.96632897853851,362,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"CONSTRUCCIONES E INSTALACIONES DEL PITIC, S.A. DE C.V.","ING. HUGO ALBERTO ISSA PERAZA",,09/11/2015,10/11/2015,08/01/2016,23/02/2016,2015
ISIE-FAFEF-16-013,,0,,,"(15-FE-0164) IMPERMEABILIZACION DE CUBIERTA, REHABILITACION HIDROSANITARIA, DE CERCO PERIMETRAL, REPARACION DE PISOS Y MUROS, CONSTRUCCION DE LETRINA, DE RAMPA Y OBRA EXTERIOR EN ESCUELA PRIMARIA LIC. ADOLFO LOPEZ MATEOS DE LA LOCALIDAD DE EL CHOYUDO(LOS JAPONESES), MUNICIPIO DE HERMOSILLO, SONORA.","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,666291.95,100,06/07/2016,2,22,HERMOSILLO,"UNNAMED ROAD, SONORA, MÉXICO",28.319455603452237,-111.45326793193817,65,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"BERMA DESARROLLOS, S.A. DE C.V.","ING. RICARDO MONTOYA GONZALEZ",,22/01/2016,05/03/2016,04/05/2016,19/05/2016,2016
ISIE-FAMEB-15-196,,0,,,"IMPERMEABILIZACION DE TECHOS, REPARACION DE INSTALACIONES ELECTRICAS, DE PISO, ALUMBRADO EXTERIOR, DRENAJE PLUVIAL EN EP MAGISTERIO EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO, SONORA.","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,1206065.22,100,09/06/2016,2,12,HERMOSILLO,"DOMICILIO CONOCIDO",29.056296313060045,-110.97835063934326,316,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"TMC CONSTRUCCIONES SA DE CV","ING. YURIDIA CONS ALVILA",,23/12/2015,24/12/2015,22/03/2016,14/04/2016,2015
ISIE-FAMEB-15-191,,0,,,"CONSTRUCCION DE SERVICIOS SANITARIOS, BEBEDEROS, CISTERNA EQUIPADA CON 2,800 LTS CON HIDRONEUMATICO DE UN FIRME, REHABILITACION DE LETRINA Y DE SISTEMA ELECTRICO EN JN JESUS GARCIA CORONA, EN LA LOCALIDAD Y MUNICIPIO DE PLAN DE AYALA NO.1, HERMOSILLO, SONORA","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,737384.23,100,22/06/2016,2,13,HERMOSILLO,"DOMICILIO CONOCIDO",28.568323207244195,-111.55500411987305,33,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"EDIVIA DESARROLLOS, S.A. DE C.V.","ING. RICARDO MONTOYA GONZALEZ",,15/12/2015,16/12/2015,13/02/2016,19/04/2016,2015
ISIE-FAMEB-15-179,,0,,,"PINTURA GENERAL, REHABILITACION DE MUROS, SISTEMA ELECTRICO, SERVICIOS SANITARIOS, CONSTRUCCION DE CISTERNA, BEBEDEROS, REPOSICION DE PUERTAS METALICAS, CERCO PERIMETRAL Y LIMPIEZA DE PATIOS EN TELESECUNDARIA 364, DE LA LOCALIDAD Y MUNICIPIO DE PLAN DE AYALA, HERMOSILLO, SONORA.","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,1863439.52,100,10/03/2016,2,4,HERMOSILLO,"DOMICILIO CONOCIDO",29.2016831,"-110.7689909,17",66,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"PROMOTORA MAJERUS, S. DE R.L.","ING. RICARDO MONTOYA GONZALEZ",,14/12/2015,15/12/2015,13/03/2016,25/05/2016,2015
ISIE-FAMEB-15-195,,0,,,"CONSTRUCCION DE SERVICIOS SANITARIOS, DE CISTERNA, REHABILITACION DE BEBEDEROS, SISTEMA ELECTRICO Y OBRA EXTERIOR EN EP CLUB DE LEONES 3, EN LA LOCALIDAD Y MUNICIPIOS EN MINEROS DE PILARES, HERMOSILLO, SONORA.","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,1484633.11,100,10/05/2016,2,6,HERMOSILLO,"MINEROS DE PILARES 11, SAN ISIDRO, 83174 HERMOSILLO, SON., MÉXICO",29.097323931324674,-111.01255416870117,84,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"CETYA CONSTRUCCIONES, S.A. DE C.V.","ING. RICARDO MONTOYA GONZALEZ",,15/12/2015,16/12/2015,14/03/2016,02/06/2016,2015
ISIE-FAFEF-16-011,,0,,n-a,"(15-FE-0162) APLICACION DE PINTURA EN CUBIERTA DE POLINERIA, DEMOLICION DE JARDINERAS, REHABILITACIÓN ELECTRICA Y CERCO PERIMETRAL EN JARDIN DE NIÑOS ZIX QUISIL, DE LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO, SONORA.","ADJUDICACIÓN DIRECTA","OBRA PÚBLICA",EDUCACIÓN,82226.09,100,04/03/2016,2,4,HERMOSILLO,"AV. LUCAS ALAMÁN 482, HAB JARDINES, 83113 HERMOSILLO, SON., MÉXICO",29.128710670958576,-110.98493814468384,154,"INSTITUTO SONORENSE DE INFRAESTRUCTURA EDUCATIVA","DIRECCION GENERAL DE PLANEACION SEC",ISIE,"DISEÑO Y CONSTRUCCION DEL NOROESTE SA DE CV","ING. CARMEN MARIA NAJAR NAVA",,22/01/2016,04/02/2016,04/03/2016,12/03/2016,2016
